id,name,description,dichotomous,group,PMID example,PMID in GWAS CATALOG?,complex traits,Relation,EFO_term,API_EFO_ID,EFO_id,comments,supported by OLS,supported by Zooma,GWAS catalog UI search,Lizzy's suggestion,suggestion applied,Maria's suggestion,import_new_terms
3971,Cardiomyopathy,Hypertrophic cardiomyopathy,1,CARDIOVASCULAR,,,simple,Exact match,hypertrophic cardiomyopathy,EFO_0000538,EFO_0000538,,Yes,Yes,yes,,,ok,N
3200,Stroke_hemorrhagic,All intracranial hemorrhage,1,STROKE,,,simple,Exact match,intracranial hemorrhage,EFO_0000551,EFO_0000551,,Yes,Yes,no,,,ok,N
300,IBS,Irritable bowel syndrome (IBS),1,DIGESTIVE,,,simple,Exact match,irritable bowel syndrome,EFO_0000555,EFO_0000555,,Yes,Yes,yes,,,ok,N
3170,MI,Myocardial infarction,1,CARDIOVASCULAR,,,simple,Exact match,myocardial infarction,EFO_0000612,EFO_0000612,,Yes,Yes,yes,,,ok,N
351,MIinT2D,Myocardial infarction in type 2 diabetes,1,DIABETIC COMPLICATIONS,,,complex,Match to parent,"myocardial infarction, type 2 diabetes mellitus","EFO_0000612, MONDO_0005148","EFO_0000612, MONDO_0005148",,No,no,No,add: T2D - MONDO_0005148,yes,Accept Lizzy's suggestion,N
4143,PCOS,Polycystic ovary syndrome (PCOS),1,REPRODUCTIVE TRAITS,,,simple,Exact match,polycystic ovary syndrome,EFO_0000660,EFO_0000660,,Yes,Yes,yes,,,ok,N
3958,PCOSadjAge,"Polycystic ovary syndrome, age-adjusted",1,REPRODUCTIVE TRAITS,34791234,yes,simple,Exact match - adjusted,polycystic ovary syndrome,EFO_0000660,EFO_0000660,,No,Yes,yes,,,ok,N
4063,GestationalHypertension,Gestational hypertension,1,REPRODUCTIVE TRAITS,37248299,yes,simple,Match to parent,preeclampsia,EFO_0000668,EFO_0000668,,No,Yes,yes,,,ok,N
4062,PreEclampsia,Preeclampsia,1,REPRODUCTIVE TRAITS,,,simple,Exact match,preeclampsia,EFO_0000668,EFO_0000668,,Yes,Yes,yes,,,ok,N
4076,Psoriasis,Psoriasis,1,IMMUNOLOGICAL,,,simple,Exact match,psoriasis,EFO_0000676,EFO_0000676,,Yes,Yes,yes,,,ok,N
3884,RhA,Rheumatoid arthritis,1,IMMUNOLOGICAL,,,simple,Exact match,rheumatoid arthritis,EFO_0000685,EFO_0000685,,Yes,Yes,yes,,,ok,N
4077,SeropositiveRhA,Seropositive rheumatoid arthritis,1,IMMUNOLOGICAL,36653562,,simple,Match to parent,rheumatoid arthritis,EFO_0000685,EFO_0000685,,Yes,Yes,yes,,,ok,N
4066,CCScINCUNC,CCS causative incomplete and unclassified,1,STROKE,26708676,yes,simple,Match to parent,stroke,EFO_0000712,EFO_0000712,,No,no,yes,suggested,yes,ok - match to parent,N
4069,CCScUNDETER,CCS causative undetermined,1,STROKE,26708676,yes,simple,Match to parent,stroke,EFO_0000712,EFO_0000712,,No,no,yes,suggested,yes,ok - match to parent,N
4071,CCSpCryptoincl,Causative Classification of Stroke phenotypic cryptogenic ,1,STROKE,26708676,yes,simple,Match to parent,stroke,EFO_0000712,EFO_0000712,,No,no,yes,suggested,yes,ok - match to parent,N
3203,Stroke,Any stroke,1,STROKE,,,simple,Exact match,stroke,EFO_0000712,EFO_0000712,,Yes,Yes,no,,,ok,N
3915,LacunarStroke,Lacunar stroke,1,STROKE,33773637,yes,simple,Match to parent,stroke,EFO_0000712,EFO_0000712,,Yes,Yes,yes,,,ok,N
4624,RecurrentStroke,Recurrent stroke,1,STROKE,,,simple,Match to parent,stroke,EFO_0000712,EFO_0000712,,Yes,Yes,yes,,,ok,N
361,StrokeinT2D,Stroke in type 2 diabetes,1,DIABETIC COMPLICATIONS,,,complex,Match to parent,"stroke, type 2 diabetes mellitus","EFO_0000712,MONDO_0005148","EFO_0000712,MONDO_0005148",,No,no,No,"stroke, T2D - EFO_0000712, MONDO_0005148",yes,Accept Lizzy's suggestion,N
3599,SAH,Aneurysmal subarachnoid hemorrhage,1,STROKE,,,simple,Match to parent,subarachnoid hemorrhage,MONDO_0019543,EFO_0000713,"20241028: Yue mapped it to an existed EFO term, which is more general.",No,no,Yes,,,ok,Y
3216,UC,Ulcerative colitis,1,INFLAMMATORY BOWEL,,,simple,Exact match,ulcerative colitis,EFO_0000729,EFO_0000729,,Yes,Yes,yes,,,ok,N
4499,UterineFibroids,Uterine fibroids,1,REPRODUCTIVE TRAITS,,,simple,Exact match,uterine fibroid,EFO_0000731,EFO_0000731,,Yes,Yes,yes,,,ok,N
4497,UterineFibroids_HMB,Uterine fibroids and heavy menstrual bleeding,1,REPRODUCTIVE TRAITS,31649266,yes,simple,Match to parent,"uterine fibroid, menorrhagia ","EFO_0000731,HP_0000132","EFO_0000731,HP_0000132",,Yes,no,yes,add: menorrhagia - HP_0000132,yes,Accept Lizzy's suggestion,N
4341,Melanoma,Melanoma,1,CANCER,,,simple,Exact match,melanoma,EFO_0000756,EFO_0000756,,Yes,Yes,yes,,,ok,N
3961,IPFSurvival,Idiopathic pulmonary fibrosis survival ,0,LUNG,,,simple,Match to parent,idiopathic pulmonary fibrosis,EFO_0000768,EFO_0000768,,No,no,No,,,ok,N
325,IPF,Idiopathic pulmonary fibrosis,1,LUNG,,,simple,Exact match,idiopathic pulmonary fibrosis,EFO_0000768,EFO_0000768,,Yes,Yes,yes,,,ok,N
3960,DLCOInIPF,Diffusing capacity for lung of carbon monoxide (DLco) in idiopathic pulmonary fibrosis,0,LUNG,35985358,,complex,,"idiopathic pulmonary fibrosis, diffusing capacity of the lung for carbon monoxide","EFO_0000768,EFO_0009369","EFO_0000768,EFO_0009369",,Yes,no,,,,ok,N
3886,Celiac,Celiac disease,1,IMMUNOLOGICAL,,,simple,Exact match,celiac disease,EFO_0001060,EFO_0001060,,Yes,Yes,yes,,,ok,N
308,SCOOPvSTILTS,Obese vs thin,1,ANTHROPOMETRIC,30677029,yes,simple,Match to parent,obesity,EFO_0001073,EFO_0001073,,No,no,yes,obesity - EFO_0001073,yes,Accept Lizzy's suggestion,N
309,SCOOPvUKHLS,Obese vs controls,1,ANTHROPOMETRIC,30677029,yes,simple,Match to parent,obesity,EFO_0001073,EFO_0001073,,No,no,yes,obesity - EFO_0001073,yes,Accept Lizzy's suggestion,N
354,Obesity,Obesity,1,ANTHROPOMETRIC,,,simple,Exact match,Obesity,EFO_0001073,EFO_0001073,,Yes,no,,,,ok,N
3104,ChildObesity,Childhood obesity,1,ANTHROPOMETRIC,,,simple,Match to parent,obesity,EFO_0001073,EFO_0001073,,No,Yes,yes,,,ok,N
4212,PAH,Pulmonary arterial hypertension,1,CARDIOVASCULAR,,,simple,Exact match,pulmonary arterial hypertension,EFO_0001361,EFO_0001361,,Yes,Yes,yes,,,ok,N
3085,AMD,Age-related macular degeneration (AMD),1,OCULAR,,,simple,Exact match,age-related macular degeneration,EFO_0001365,EFO_0001365,,Yes,Yes,yes,,,ok,N
4101,EarlyAMD,Early age-related macular degeneration,1,OCULAR,32843070,yes,simple,Match to parent,age-related macular degeneration,EFO_0001365,EFO_0001365,,Yes,Yes,yes,,,ok,N
3846,AMDprogression,AMD progression,0,OCULAR,29346644,yes,simple,Exact match,"age-related macular degeneration, disease progression measurement","EFO_0001365,EFO_0008336","EFO_0001365,EFO_0008336",,Yes,no,yes,,,ok,N
3343,CADinNonT2D,Coronary artery disease (CAD) in subjects without diabetes,1,CARDIOVASCULAR,,,complex,Match to parent,coronary artery disease,EFO_0001645,EFO_0001645,,No,no,No,,,ok,N
3092,CAD,Coronary artery disease (CAD),1,CARDIOVASCULAR,,,simple,Exact match,coronary artery disease,EFO_0001645,EFO_0001645,,Yes,Yes,yes,,,ok,N
3618,CADinT1D,Coronary artery disease in type 1 diabetes,1,DIABETIC COMPLICATIONS,,,complex,Exact match,"coronary artery disease, type 1 diabetes mellitus","EFO_0001645,MONDO_0005147","EFO_0001645,MONDO_0005147",,No,no,Yes,add: T1D - MONDO_0005147,yes,"Accept Lizzy's suggestion, change to exact match",N
3342,CADinT2D,Coronary artery disease in type 2 diabetes (CAD in T2D),1,DIABETIC COMPLICATIONS,,,complex,Exact match,"coronary artery disease, type 2 diabetes mellitus
","EFO_0001645,MONDO_0005148","EFO_0001645,MONDO_0005148",,No,no,No,add: T2D - MONDO_0005148,yes,"Accept Lizzy's suggestion, change to exact match",N
4337,PancreaticCancer,Pancreatic cancer,1,CANCER,32887889,yes,simple,Exact match,pancreatic carcinoma,EFO_0002618,EFO_0002618,,No,Yes,yes,,,ok,N
4345,EsoStomachCancer,Esophageal or stomach cancer,1,CANCER,32887889,yes,complex,,"esophageal carcinoma, gastric carcinoma","EFO_0002916,EFO_0000178","EFO_0002916,EFO_0000178",,Yes,Yes,yes,,,ok,N
3820,NAFLD,NAFLD,1,HEPATIC,36280732,,simple,Exact match,non-alcoholic fatty liver disease,EFO_0003095,EFO_0003095,,Yes,Yes,yes,,,ok,N
3143,HF,Heart failure,1,CARDIOVASCULAR,,,simple,Exact match,heart failure,EFO_0003144,EFO_0003144,,Yes,Yes,yes,,,ok,N
4255,MDD_symptoms,Depression,0,PSYCHIATRIC,27089181,yes,simple,Match to parent,unipolar depression,EFO_0003761,EFO_0003761,,No,Yes,yes,"I don't think you need 2 terms, would just use unipolar depression",yes,Accept Lizzy's suggestion,N
3149,IBD,Inflammatory bowel disease (IBD),1,INFLAMMATORY BOWEL,,,simple,Exact match,inflammatory bowel disease,EFO_0003767,EFO_0003767,,Yes,Yes,yes,,,ok,N
338,DRvNoDR,Diabetic retinopathy (DR) vs no DR,1,DIABETIC COMPLICATIONS,,,complex,Match to parent,diabetic retinopathy,EFO_0003770,EFO_0003770,,No,no,No,,,ok,N
339,DRvNoDRwDoD,Diabetic retinopathy (DR) vs no DR acct DoD-GC,1,DIABETIC COMPLICATIONS,,,complex,Match to parent,diabetic retinopathy,EFO_0003770,EFO_0003770,,No,no,No,,,ok,N
352,NPDRvNoDR,Non-proliferative diabetic retinopathy vs no DR,1,DIABETIC COMPLICATIONS,,,complex,Match to parent,diabetic retinopathy,EFO_0003770,EFO_0003770,,No,no,No,,,ok,N
353,NPDRvNoDRwDoD,Non-proliferative diabetic retinopathy vs no DR acct DoD-GC,1,DIABETIC COMPLICATIONS,,,complex,Match to parent,diabetic retinopathy,EFO_0003770,EFO_0003770,,No,no,No,,,ok,N
337,DiabeticRetino,Diabetic retinopathy,1,DIABETIC COMPLICATIONS,,,simple,Exact match,diabetic retinopathy,EFO_0003770,EFO_0003770,,Yes,Yes,yes,,,ok,N
3597,IA,Intracranial aneurysm,1,STROKE,,,simple,Exact match,brain aneurysm,EFO_0003870,EFO_0003870,,No,no,Yes,,,ok,N
3598,IAU,Unruptured intracranial aneurysm,1,STROKE,,,simple,Match to parent,brain aneurysm,EFO_0003870,EFO_0003870,,Yes,Yes,no,,,ok,N
303,PVD,Peripheral vascular disease,1,CARDIOVASCULAR,,,simple,Exact match,peripheral vascular disease,EFO_0003875,EFO_0003875,,Yes,Yes,yes,,,ok,N
335,ClaudicationinT2D,Claudication in type 2 diabetes,1,DIABETIC COMPLICATIONS,,,complex,Match to parent,"intermittent vascular claudication, type 2 diabetes mellitus","EFO_0003876,MONDO_0005148","EFO_0003876,MONDO_0005148",,No,no,No,add: T2D - MONDO_0005148,yes,Accept Lizzy's suggestion,N
4521,SleepApneaAdjBMI,Sleep apnea adj BMI,1,SLEEP AND CIRCADIAN,36525587,yes,complex,Exact match - adjusted,sleep apnea,EFO_0003877,EFO_0003877,,Yes,Yes,yes,remove adjusted terms,yes,Accept Lizzy's suggestion,N
4508,SleepApnea,Sleep apnea syndrome,1,SLEEP AND CIRCADIAN,36525587,yes,simple,Exact match,sleep apnea,EFO_0003877,EFO_0003877,,Yes,Yes,yes,,,ok,N
302,Osteoporosis,EHR-defined osteoporosis,1,MUSCULOSKELETAL,33893285,yes,simple,Match to parent,osteoporosis,EFO_0003882,EFO_0003882,,Yes,Yes,yes,,,ok,N
3109,CKDadjHbA1cBMI,Chronic kidney disease (CKD) adj HbA1c-BMI,1,RENAL,,,simple,Match to parent,chronic kidney disease,EFO_0003884,EFO_0003884,,Yes,Yes,no,,,ok,N
3110,CKDextremes,Extreme chronic kidney disease (CKD),1,RENAL,,,simple,Match to parent,chronic kidney disease,EFO_0003884,EFO_0003884,,Yes,Yes,no,,,ok,N
3111,CKDextremesadjHbA1cBMI,Extreme chronic kidney disease adj HbA1c-BMI,1,RENAL,,,simple,Match to parent,chronic kidney disease,EFO_0003884,EFO_0003884,,Yes,Yes,no,,,ok,N
3108,CKD,Chronic kidney disease (CKD),1,RENAL,,,simple,Exact match,chronic kidney disease,EFO_0003884,EFO_0003884,,Yes,Yes,yes,,,ok,N
4374,CKD_DM,Chronic kidney disease in diabetes,1,RENAL,35763030,yes,complex,,"chronic kidney disease, diabetes mellitus","EFO_0003884,EFO_0000400","EFO_0003884,EFO_0000400",,Yes,Yes,yes,,,ok,N
4388,CKDextremes_DM,Extreme chronic kidney disease (CKD) in diabetes,1,RENAL,35763030,yes,complex,,"chronic kidney disease, diabetes mellitus","EFO_0003884,EFO_0000400","EFO_0003884,EFO_0000400",,Yes,Yes,yes,,,ok,N
3113,CKDpDKDadjHbA1cBMI,Chronic kidney disease and diabetic kidney disease (CKD and DKD) adj HbA1c-BMI,1,RENAL,,,simple,Match to parent,"chronic kidney disease, diabetic nephropathy ","EFO_0003884,EFO_0000401","EFO_0003884,EFO_0000401",,Yes,Yes,no,add: diabetic nephropathy - EFO_0000401,yes,Accept Lizzy's suggestion,N
3112,CKDpDKD,Chronic kidney disease and diabetic kidney disease (CKD and DKD),1,RENAL,,,simple,Match to parent,"chronic kidney disease, diabetic nephropathy ","EFO_0003884,EFO_0000401","EFO_0003884,EFO_0000401",,Yes,Yes,Yes,add: diabetic nephropathy - EFO_0000401,yes,ok,N
4389,CKDpDKD_DM,Chronic kidney disease and diabetic kidney disease (CKD and DKD) in diabetes,1,RENAL,35763030,yes,complex,,"chronic kidney disease, diabetic nephropathy, diabetes mellitus","EFO_0003884,EFO_0000401,EFO_0000400","EFO_0003884,EFO_0000401,EFO_0000400",,Yes,Yes,yes,,,ok,N
3656,CKDpDKDinT2D,CKD and DKD in type 2 diabetes,1,RENAL,29703844,yes,complex,,"chronic kidney disease, diabetic nephropathy, type 2 diabetes mellitus","EFO_0003884,EFO_0000401,MONDO_0005148","EFO_0003884,EFO_0000401,MONDO_0005148",,No,no,yes,,,ok,N
4207,eGFRcrea_med_DeclineInCKD,eGFRcreat median annual decline in individuals with chronic kidney disease,0,RENAL,35716955,,complex,Match to parent,"chronic kidney disease, GFR change measurement, creatinine measurement","EFO_0003884,EFO_0006829,EFO_0004518","EFO_0003884,EFO_0006829,EFO_0004518",,Yes,Yes,no,,yes,"Remove glomerular filtration rate (EFO_0005208); add GFR change measurement - EFO_0006829; add creatinine measurement, EFO_0004518",N
4386,CKD_T1D, Chronic kidney disease in type 1 diabetes,1,RENAL,31537649,yes,complex,,"chronic kidney disease, type 1 diabetes mellitus","EFO_0003884,MONDO_0005147","EFO_0003884,MONDO_0005147",,No,no,yes,,,ok,N
4395,CKDextremes_T1D,Extreme chronic kidney disease (CKD) in type 1 diabetes,1,RENAL,31537649,yes,complex,,"chronic kidney disease, type 1 diabetes mellitus","EFO_0003884,MONDO_0005147","EFO_0003884,MONDO_0005147",,Yes,Yes,yes,,,ok,N
4394,CKDadjHbA1cBMI_T1D,Chronic kidney disease (CKD) adj HbA1c-BMI in type 1 diabetes,1,RENAL,31537649,yes,complex,,"chronic kidney disease, type 1 diabetes mellitus","EFO_0003884,MONDO_0005147","EFO_0003884,MONDO_0005147",,Yes,Yes,yes,remove adjusted terms,yes,Accept Lizzy's suggestion,N
4396,CKDextremesadjHbA1cBMI_T1D,Extreme chronic kidney disease adj HbA1c-BMI in type 1 diabetes,1,RENAL,31537649,yes,complex,,"chronic kidney disease, type 1 diabetes mellitus","EFO_0003884,MONDO_0005147","EFO_0003884,MONDO_0005147",,Yes,Yes,yes,remove adjusted terms,yes,Accept Lizzy's suggestion,N
4397,CKDpDKD_T1D,Chronic kidney disease and diabetic kidney disease (CKD and DKD) in type 1 diabetes,1,RENAL,31537649,yes,complex,,"chronic kidney disease, type 1 diabetes mellitus, diabetic nephropathy","EFO_0003884,MONDO_0005147,EFO_0000401","EFO_0003884,MONDO_0005147,EFO_0000401",,No,Yes,yes,,,ok,N
4398,CKDpDKDadjHbA1cBMI_T1D,Chronic kidney disease and diabetic kidney disease (CKD and DKD) adj HbA1c-BMI in type 1 diabetes,1,RENAL,31537649,yes,complex,,"chronic kidney disease, type 1 diabetes mellitus, diabetic nephropathy","EFO_0003884,MONDO_0005147,EFO_0000401","EFO_0003884,MONDO_0005147,EFO_0000401",,No,Yes,yes,remove adjusted terms,yes,Accept Lizzy's suggestion,N
4381,CKD_T2D,Chronic kidney disease in type 2 diabetes,1,RENAL,29703844,yes,complex,,"chronic kidney disease, type 2 diabetes mellitus","EFO_0003884,MONDO_0005148","EFO_0003884,MONDO_0005148",,Yes,Yes,yes,,,ok,N
3275,CKDinT2D,Chronic kidney disease (CKD) in type 2 diabetes (T2D),1,DIABETIC COMPLICATIONS,,,complex,Match to parent,"chronic kidney disease, type 2 diabetes mellitus","EFO_0003884,MONDO_0005148","EFO_0003884,MONDO_0005148",,Yes,Yes,Yes,add: T2D - MONDO_0005148,yes,ok,N
4219,ADHD,Attention-deficit hyperactivity disorder (ADHD),1,PSYCHIATRIC,,,simple,Exact match,attention deficit hyperactivity disorder,EFO_0003888,EFO_0003888,,Yes,Yes,Yes,,,ok,N
4078,AnkylosingSpondylitis,Ankylosing spondylitis,1,MUSCULOSKELETAL,,,simple,Exact match,ankylosing spondylitis,EFO_0003898,EFO_0003898,,Yes,Yes,yes,,,ok,N
